name,real_x,real_y,real_z,temperature,humidity,speed_of_sound,beamforming_max_x,beamforming_max_y,beamforming_max_z,beamforming_dist,beamforming_dist_xy,x_mean,y_mean,z_mean,s_mean,std_x,std_y,std_z,std_s,iqr_dist,coord_std,coord_std_xy,mean_dist,median_dist,mean_dist_xy,median_dist_xy,mean_diff_x,mean_diff_y,mean_diff_z,accuracy_1cm,accuracy_1cm_xy,accuracy_2cm,accuracy_2cm_xy,accuracy_5cm,accuracy_5cm_xy,accuracy_10cm,accuracy_10cm_xy,accuracy_15cm,accuracy_15cm_xy,accuracy_20cm,accuracy_20cm_xy,accuracy_30cm,accuracy_30cm_xy,accuracy_40cm,accuracy_40cm_xy,accuracy_50cm,accuracy_50cm_xy,accuracy_60cm,accuracy_60cm_xy,mae_x,mae_y,mae_z,mae_xy,mae_coord
"Group 4, Number 1",0.0,0.005,1.54,22.684824902723733,49.15388723582818,416.03648248901015,0.0,0.0,-1.4,2.940004251697606,2.940004251697606,-0.0036745747052325437,0.01956898612093023,1.517402959883721,119.71003627906977,0.034916426419607606,0.03502699109469955,0.030394607698337996,1.0328433029892576,0.030901287607962097,0.03344600840421505,0.03497170875715358,0.05841699274535503,0.0538723153338821,0.044868062964732724,0.0408491344838436,0.02784825194593021,0.02913318653720928,0.029975411046511625,0.0,0.023255813953488372,0.046511627906976744,0.18604651162790697,0.37209302325581395,0.627906976744186,0.9767441860465116,0.9767441860465116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02784825194593021,0.02913318653720929,0.029975411046511656,0.028490719241569748,0.02898561650988372
"Group 4, Number 2",-0.595,0.005,1.54,22.813000686655982,49.250019073777366,416.7740733649628,-0.5,0.0,-0.85,2.3918925561153452,2.3918925561153452,-0.5971008245348837,0.02736899072616279,1.467458647093023,121.39950033720929,0.07768386409012427,0.041690134200222335,0.04179964282732177,1.0519525382066142,0.04880073954667424,0.053724547039222796,0.05968699914517331,0.11562158965306421,0.1105462950433036,0.07862115280305801,0.0838542031698205,0.0632773244186046,0.03621318342965113,0.07274764593023252,0.0,0.0,0.0,0.06976744186046512,0.09302325581395349,0.3023255813953488,0.3953488372093023,0.7441860465116279,0.7674418604651163,0.9069767441860465,0.9767441860465116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06327732441860465,0.036213183429651144,0.07274764593023254,0.04974525392412789,0.05741271792616278
"Group 4, Number 3",-0.86,0.005,1.54,22.869077592126345,49.23170824750133,417.0170914752206,-0.3999999999999999,0.0,-1.4,2.9757730088163643,2.9757730088163643,-0.7714342525581394,-0.01383749919302324,1.2867774273255812,120.69536364534883,0.039147370810078956,0.042489169754229256,0.04778906928802959,1.0379540679774524,0.04829271575118077,0.04314186995077927,0.04081827028215411,0.2764919476836763,0.2726274827523197,0.10043767725798136,0.1010233623372552,0.08948919069767436,0.03552559689302323,0.25322257267441867,0.0,0.0,0.0,0.0,0.0,0.06976744186046512,0.0,0.46511627906976744,0.0,0.8837209302325582,0.023255813953488372,1.0,0.7441860465116279,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0894891906976744,0.03552559689302323,0.25322257267441867,0.06250739379534884,0.1260791200883721
"Group 4, Number 4",-1.115,0.005,1.54,22.938506141756307,49.23933775844968,417.3594919210785,-0.7,0.0,-1.2,2.7712542286841892,2.7712542286841892,-0.6718205883139534,-0.15242951566279067,1.4431297255813953,116.36334944767441,0.11778444438865451,0.10403551469503675,0.09740444885229138,1.2298719977771038,0.07995073362405053,0.10640813597866088,0.11090997954184563,0.5023256019230463,0.4842321151432108,0.4822834901959512,0.4589911269161522,0.4431794116860464,0.16241454482790693,0.12320530465116275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.20930232558139536,0.5813953488372093,0.6976744186046512,0.8837209302325582,0.8837209302325582,0.4431794116860464,0.16241454482790693,0.12320530465116283,0.3027969782569767,0.24293308705503877
"Group 4, Number 5",-0.985,0.005,1.54,22.938506141756307,49.24086366063935,417.3615516784522,-1.45,0.0,-0.04999999999999982,1.6566079801811893,1.6566079801811893,-0.5819809655645348,-0.07785711585523253,1.4650528313953488,120.40173545930234,0.09025755543320806,0.10134413320758504,0.06264862425310758,0.8740964332859208,0.1484164968208882,0.08475010429796688,0.09580084432039654,0.4336958967311104,0.4067453364584554,0.4202968086178815,0.395910932241021,0.4030190344354651,0.09452088392383717,0.08425881976744183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.4418604651162791,0.5116279069767442,0.7209302325581395,0.7209302325581395,0.9302325581395349,0.9302325581395349,0.40301903443546516,0.09452088392383717,0.0842588197674419,0.24876995917965114,0.19393291270891475
"Group 4, Number 6",0.0,0.005,1.909,22.95185778591592,49.24391546501869,417.4296527586118,0.050000000000000044,0.0,0.5,1.40989574082625,1.40989574082625,0.06900666375406975,-0.023692840620174408,1.559845827906977,121.78342568604651,0.025598399256864083,0.04592796983744938,0.0437322895233419,0.9872413653557898,0.05620324532261339,0.038419552872551783,0.03576318454715673,0.36101597447995176,0.3642364363327727,0.08527875233975091,0.0804377690036333,0.06900666375406975,0.03752131925040695,0.34915417209302324,0.0,0.0,0.0,0.0,0.0,0.09302325581395349,0.0,0.7441860465116279,0.0,0.9534883720930233,0.0,0.9767441860465116,0.06976744186046512,1.0,0.813953488372093,1.0,1.0,1.0,1.0,1.0,0.06900666375406975,0.03752131925040696,0.34915417209302324,0.05326399150223835,0.15189405169916664
"Group 4, Number 7",0.0,0.005,1.805,22.981231403067056,49.25917448691538,417.5911739706719,0.050000000000000044,-0.04999999999999982,0.5,1.3071151441246482,1.3071151441246482,0.04563128456860463,-0.020927941591860462,1.478918506976744,117.06292634302325,0.02743830364688223,0.029900812657287824,0.03984653743099458,1.1119600517431931,0.04549155516753822,0.03239521791172154,0.028669558152085026,0.3328209312561746,0.331502188762359,0.06075328856113816,0.0629091030661135,0.04573104895232556,0.032113359084534845,0.32608149302325573,0.0,0.0,0.0,0.06976744186046512,0.0,0.3488372093023256,0.0,0.9302325581395349,0.0,1.0,0.0,1.0,0.20930232558139536,1.0,0.9534883720930233,1.0,1.0,1.0,1.0,1.0,0.04573104895232556,0.032113359084534866,0.32608149302325573,0.03892220401843022,0.13464196702003872
"Group 4, Number 8",0.0,0.005,1.67,23.00793469138628,49.30342565041581,417.77935833716816,0.050000000000000044,0.0,0.15000000000000013,1.5208303652939072,1.5208303652939072,0.0340324474834651,-0.017794631538372078,1.534627177906977,122.59369805232558,0.025329207092216463,0.03990110994068636,0.043930736057955506,1.103915742342356,0.048028584058442014,0.036387017696952774,0.032615158516451415,0.15150246379394838,0.1465828595261698,0.05672497686677739,0.0486972773568529,0.03559141650672091,0.03597358472325579,0.13537282209302315,0.0,0.0,0.0,0.046511627906976744,0.0,0.5348837209302325,0.046511627906976744,0.9302325581395349,0.5116279069767442,1.0,0.9069767441860465,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03559141650672091,0.03597358472325579,0.13537282209302318,0.03578250061498835,0.06897927444099995
"Group 4, Number 9",-0.86,0.005,1.67,23.06668192568857,49.295796139467456,418.051783929547,-0.2999999999999998,0.0,-1.5,3.2190876036541782,3.2190876036541782,-0.7955204074999999,-0.06099174460290693,1.2643243093023258,119.57239394186048,0.03987181669436894,0.028084109880894565,0.038233452571137694,1.0757761958219063,0.042833268025591065,0.035396459715467066,0.03397796328763175,0.41914032435250037,0.4134431204655914,0.10083534427606086,0.1023564398660418,0.06639760970930228,0.06818928284709301,0.4056756906976743,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.4883720930232558,0.0,1.0,0.0,1.0,0.0,1.0,0.3023255813953488,1.0,0.9534883720930233,1.0,1.0,1.0,0.06639760970930232,0.068189282847093,0.4056756906976743,0.06729344627819765,0.18008752775135653
"Group 5, Number 1",0.0,0.005,2.12,23.15213244831007,49.38582436865797,418.5870917102706,0.0,0.050000000000000044,0.5,1.6206248794832199,1.6206248794832199,0.10206073387808139,0.12351444922598835,1.6595355127906977,121.97090186046512,0.14793446447426228,0.09935373205926734,0.07437050483578729,1.0594090083285985,0.091963981855674,0.10721956712310564,0.12364409826676481,0.5136613732260833,0.5210641457969223,0.20659134592690487,0.1729315083980271,0.12843524770366277,0.1324684544818023,0.46046448720930233,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.11627906976744186,0.0,0.3023255813953488,0.0,0.6046511627906976,0.0,0.813953488372093,0.11627906976744186,0.9534883720930233,0.4186046511627907,0.9767441860465116,0.9302325581395349,0.9767441860465116,0.12843524770366277,0.1324684544818023,0.46046448720930233,0.13045185109273255,0.24045606313158915
