id,name,real_x,real_y,real_z,temperature,humidity,speed_of_sound,beamforming_max_x,beamforming_max_y,beamforming_max_z,beamforming_dist,beamforming_dist_xy,x_mean,y_mean,z_mean,s_mean,std_x,std_y,std_z,std_s,iqr_dist,coord_std,coord_std_xy,mean_dist,median_dist,mean_dist_xy,median_dist_xy,mean_diff_x,mean_diff_y,mean_diff_z,accuracy_1cm,accuracy_1cm_xy,accuracy_2cm,accuracy_2cm_xy,accuracy_5cm,accuracy_5cm_xy,accuracy_10cm,accuracy_10cm_xy,accuracy_15cm,accuracy_15cm_xy,accuracy_20cm,accuracy_20cm_xy,accuracy_30cm,accuracy_30cm_xy,accuracy_40cm,accuracy_40cm_xy,accuracy_50cm,accuracy_50cm_xy,accuracy_60cm,accuracy_60cm_xy,mae_x,mae_y,mae_z,mae_xy,mae_coord
1,"Group 4, Number 1",0.0,0.005,1.54,22.684824902723733,49.15388723582818,416.03648248901015,0.050000000000000044,0.050000000000000044,-0.5,2.0411087673125117,2.0411087673125117,0.13137578472354647,0.23613686087587213,1.6590133412790702,127.89679184302324,0.054094359820077584,0.05198111669707016,0.040073918513614554,1.1759651583166961,0.05890447249647668,0.0487164650102541,0.05303773825857387,0.2995340680663033,0.30452905046084544,0.27237044130801086,0.2732123542998663,0.13168488383401158,0.23113686087587204,0.1190133412790697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.06976744186046512,0.47674418604651164,0.7674418604651163,0.9767441860465116,1.0,1.0,1.0,1.0,1.0,0.13168488383401158,0.23113686087587204,0.11901334127906972,0.18141087235494183,0.1606116953296511
2,"Group 4, Number 2",-0.595,0.005,1.54,22.813000686655982,49.250019073777366,416.7740733649628,-1.05,0.050000000000000044,-0.30000000000000004,1.8959562231233082,1.8959562231233082,-0.6995587204651165,0.018977448090145347,1.418001323255814,126.10887446802327,0.11977209302832742,0.061761844728047216,0.12220473378100198,0.9847883472914474,0.10766916083994324,0.1012462238457922,0.09076696887818732,0.23021506245262946,0.22717126460804993,0.16055973134974416,0.15726878944494188,0.1464614077906977,0.045498146549447636,0.15797248953488371,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.011627906976744186,0.09302325581395349,0.1511627906976744,0.43023255813953487,0.37209302325581395,0.8372093023255814,0.7790697674418605,0.9767441860465116,0.9767441860465116,0.9883720930232558,1.0,1.0,1.0,1.0,0.14646140779069772,0.04549814654944765,0.15797248953488377,0.09597977717007265,0.11664401462500969
3,"Group 4, Number 3",-0.86,0.005,1.54,22.869077592126345,49.23170824750133,417.0170914752206,-1.5,0.050000000000000044,-0.15000000000000013,1.807684983618551,1.807684983618551,-0.3541682114078488,0.06830646464738373,1.630192717151163,125.30795259302326,0.25396592465481543,0.21358855292154233,0.12823637985782624,1.098531458470658,0.3661818521018958,0.19859695247806133,0.23377723878817888,0.5831374671083187,0.56661030175474,0.5612635828745852,0.5413919674562051,0.505831788592151,0.18993887984505808,0.1396004840116279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.011627906976744186,0.03488372093023256,0.09302325581395349,0.12790697674418605,0.27906976744186046,0.3023255813953488,0.38372093023255816,0.4069767441860465,0.5813953488372093,0.5930232558139535,0.505831788592151,0.18993887984505808,0.13960048401162792,0.3478853342186047,0.2784570508162791
4,"Group 4, Number 4",-1.115,0.005,1.54,22.938506141756307,49.23933775844968,417.3594919210785,-1.35,0.0,0.6,0.9689427227653863,0.9689427227653863,-0.3209300275436046,0.16276244009098836,1.672496056104651,123.13308237209301,0.12351282934093362,0.08390690070831769,0.06571477742142241,0.9710351272758235,0.17016237702842152,0.0910448358235579,0.10370986502462565,0.828148138807608,0.8144269064518357,0.8147265915666304,0.8029310626328545,0.7940699724563954,0.1618301865793604,0.1354121968023255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.03488372093023256,0.7940699724563954,0.16183018657936044,0.13541219680232558,0.4779500795178779,0.3637707852793604
5,"Group 4, Number 5",-0.985,0.005,1.54,22.938506141756307,49.24086366063935,417.3615516784522,-1.5,0.050000000000000044,0.19999999999999996,1.436262510824536,1.436262510824536,-0.07546299372470928,-0.06693821729447674,1.7291399985465115,126.5611664360465,0.21239672296497164,0.1814868047102573,0.08772743945931133,1.0236361651007384,0.269798006683275,0.16053698904484676,0.19694176383761447,0.955451544519587,0.9874928312148976,0.932431008598683,0.965807196992325,0.9095370062752904,0.16211443388982555,0.19660557819767444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.011627906976744186,0.046511627906976744,0.046511627906976744,0.05813953488372093,0.05813953488372093,0.9095370062752904,0.16211443388982555,0.19660557819767446,0.535825720082558,0.42275233945426355
6,"Group 4, Number 6",0.0,0.005,1.909,22.95185778591592,49.24391546501869,417.4296527586118,0.050000000000000044,0.050000000000000044,-0.5,2.4099390033774712,2.4099390033774712,0.13695161766505812,0.23459838320058135,1.660799427906977,126.97012924127908,0.05324913680589046,0.054536292586278075,0.04218092466488648,1.1430550489632771,0.056367062659309686,0.04998878468568501,0.05389271469608427,0.3722408979397986,0.36937476798587787,0.2726051897148609,0.27370373070598014,0.13695161766505812,0.22959838320058135,0.24820057209302324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09302325581395349,0.05813953488372093,0.7209302325581395,0.7325581395348837,0.9883720930232558,0.9883720930232558,1.0,1.0,1.0,0.13695161766505812,0.22959838320058135,0.24820057209302326,0.18327500043281977,0.2049168576528876
7,"Group 4, Number 7",0.0,0.005,1.805,22.981231403067056,49.25917448691538,417.5911739706719,0.050000000000000044,0.050000000000000044,-0.5,2.3059813529168007,2.3059813529168007,0.07227307333447675,0.19203672489447676,1.6570860863372094,128.2023231395349,0.04815189508199328,0.06923971934382833,0.04312982467321579,1.2104057322919386,0.07760884421053132,0.0535071463663458,0.0586958072129108,0.2603872995734248,0.2593839859648701,0.20744773333415106,0.20632445477989342,0.07665566099726745,0.18703672489447673,0.1479139136627906,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.011627906976744186,0.046511627906976744,0.023255813953488372,0.20930232558139536,0.11627906976744186,0.4418604651162791,0.7325581395348837,0.9302325581395349,0.9883720930232558,1.0,1.0,1.0,1.0,1.0,0.07665566099726745,0.18703672489447673,0.14791391366279066,0.1318461929458721,0.13720209985151163
8,"Group 4, Number 8",0.0,0.005,1.67,23.00793469138628,49.30342565041581,417.77935833716816,0.050000000000000044,0.050000000000000044,-0.5,2.1710423763713136,2.1710423763713136,0.12024654540973835,0.16389839666598838,1.6545056537790694,128.0905127732558,0.053986621266124635,0.050830431994344664,0.041990618262513234,1.080317354681839,0.06165413334959313,0.04893589050766085,0.05240852663023465,0.20797720053796553,0.19446759656216983,0.20253404917862453,0.19172052360294894,0.12024654540973835,0.15889839666598835,0.03591935843023247,0.0,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.011627906976744186,0.1744186046511628,0.20930232558139536,0.5348837209302325,0.5813953488372093,0.9186046511627907,0.9186046511627907,0.9883720930232558,0.9883720930232558,1.0,1.0,1.0,1.0,0.12024654540973835,0.15889839666598835,0.03591935843023254,0.13957247103786338,0.10502143350198644
9,"Group 4, Number 9",-0.86,0.005,1.67,23.06668192568857,49.295796139467456,418.051783929547,-1.5,0.050000000000000044,-0.3500000000000001,2.119439784471359,2.119439784471359,-0.4204776862433139,-0.08766714592005814,1.6050814505813953,126.86689109593023,0.25111042386704174,0.20796409470944702,0.13610824511506828,1.240911331731934,0.3654952752896916,0.19839425456385232,0.22953725928824437,0.5218230329579653,0.44352733591597304,0.4815267908527347,0.4345140993172635,0.43952231375668604,0.171668183059593,0.12307242499999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.08139534883720931,0.0,0.11627906976744186,0.12790697674418605,0.32558139534883723,0.45348837209302323,0.45348837209302323,0.627906976744186,0.627906976744186,0.6744186046511628,0.686046511627907,0.43952231375668604,0.17166818305959303,0.12307242499999999,0.3055952484081395,0.24475430727209302
10,"Group 5, Number 1",0.0,0.005,2.12,23.15213244831007,49.38582436865797,418.5870917102706,0.0,0.050000000000000044,-0.5,2.6203864218851387,2.6203864218851387,0.041400002262209294,0.13110027480116276,1.6337279938953488,125.13160545639533,0.03178709550816999,0.03883694076747575,0.06799258559856092,1.0826758184751615,0.07061896348566443,0.04620554062473555,0.035312018137822865,0.5073763944416126,0.5079298672250436,0.13682457357508912,0.13935752672196866,0.044825201087790686,0.12610027480116273,0.48627200610465116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18604651162790697,0.0,0.6627906976744186,0.0,0.9418604651162791,0.0,1.0,0.011627906976744186,1.0,0.46511627906976744,1.0,0.8953488372093024,1.0,0.044825201087790686,0.12610027480116276,0.4862720061046512,0.08546273794447673,0.21906582733120153
11,"Group 5, Number 2",0.0,0.005,1.9,22.70084687571527,47.22667277027542,413.53392614047465,0.0,0.050000000000000044,-0.050000000000000044,1.9505191616592747,1.9505191616592747,0.06614565851764534,0.19940660119767434,1.6594596970930229,125.05094516569767,0.03237790426784627,0.05842029201647966,0.053303860218796184,1.156179824407151,0.06797640234041091,0.04803401883437403,0.04539909814216296,0.32373386930821013,0.32401902549013134,0.20778801640416036,0.1967203430171773,0.06644382758741278,0.1944066011976744,0.24054030290697667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.0,0.10465116279069768,0.0,0.5232558139534884,0.3372093023255814,0.9302325581395349,0.9186046511627907,0.9883720930232558,1.0,1.0,1.0,1.0,0.06644382758741278,0.1944066011976744,0.2405403029069767,0.1304252143925436,0.16713024389735462
12,"Group 5, Number 3",0.0,0.005,1.65,22.853055619134807,46.877241168841074,413.7633947350424,0.050000000000000044,0.050000000000000044,-0.050000000000000044,1.7013303618051374,1.7013303618051374,0.07125551839764534,0.3901583950872091,1.691980035755814,128.7225325726744,0.03842009685410999,0.06228961646609995,0.0476999066752604,1.146561596900787,0.08263652463354493,0.049469873331823455,0.050354856660104974,0.3981426520924751,0.38977745560114274,0.39341332345432417,0.3862562806031832,0.0713980325272965,0.38515839508720934,0.05146542819767443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.023255813953488372,0.5465116279069767,0.5697674418604651,0.9418604651162791,0.9534883720930233,1.0,1.0,0.0713980325272965,0.38515839508720934,0.051465428197674475,0.2282782138072529,0.1693406186040601
13,"Group 5, Number 5",0.0,0.005,1.49,22.89578088044556,46.90928511482414,414.0038384889622,0.0,0.050000000000000044,0.3999999999999999,1.0909285036151544,1.0909285036151544,0.17518604556249998,0.2443983895726744,1.6727393328488374,129.17472079651162,0.07000778825652694,0.055320946812159794,0.037873571482793314,0.9470889278234156,0.07396931870167345,0.05440076885049335,0.06266436753434337,0.3560158192174908,0.35438374268196615,0.3021379954333364,0.2980978299507371,0.17575402787645344,0.2393983895726744,0.1827393328488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.0,0.03488372093023256,0.16279069767441862,0.5348837209302325,0.8023255813953488,0.9302325581395349,0.9883720930232558,0.9883720930232558,0.9883720930232558,1.0,0.17575402787645344,0.2393983895726744,0.18273933284883723,0.20757620872456395,0.19929725009932173
14,"Group 8, Number 1",0.41,0.005,1.665,22.770275425345236,47.18547341115434,413.7983968386434,0.6000000000000001,0.10000000000000009,-0.5,2.1753965155805504,2.1753965155805504,0.7748600508430233,0.043644440230581366,1.5469765107558138,118.16547594767442,0.0718387796150778,0.03437761828058116,0.06985431841455195,1.016850803044402,0.08964248728905766,0.0586902387700703,0.05310819894782948,0.39178860214244643,0.39880539361812795,0.36842725924867215,0.37979611190608575,0.36486005084302325,0.042143024817034865,0.12205365436046513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.023255813953488372,0.03488372093023256,0.03488372093023256,0.11627906976744186,0.1511627906976744,0.5116279069767442,0.6162790697674418,0.9418604651162791,1.0,1.0,1.0,0.3648600508430233,0.042143024817034865,0.12205365436046517,0.20350153783002903,0.1763522433401744
15,"Group 8, Number 2",-0.135,-0.19,1.935,22.43114366369116,50.84611276417181,417.05883027555706,-0.19999999999999996,-0.25,-0.4500000000000002,2.3866398974290197,2.3866398974290197,-0.31263538101744176,-0.4117187899999999,1.6569267055232555,122.89670052034884,0.08683000628128304,0.0885376269938559,0.046285076059157305,1.0520672418817432,0.1073835755401581,0.07388423644476541,0.08768381663756947,0.41049292941038124,0.39356106647319555,0.28932813902095184,0.27356458165091746,0.1776353810174418,0.22171879,0.2780732944767443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.0,0.08139534883720931,0.0,0.23255813953488372,0.08139534883720931,0.5581395348837209,0.5465116279069767,0.8488372093023255,0.8604651162790697,0.9651162790697675,0.9651162790697675,1.0,0.17763538101744183,0.22171879000000003,0.2780732944767443,0.1996770855087209,0.2258091551647287
16,"Group 8, Number 3",-0.135,-0.19,1.586,22.54329747463187,50.97581445029373,417.7695987489672,-0.09999999999999987,-0.09999999999999987,1.15,0.4465657846275285,0.4465657846275285,-0.44037326866279075,-0.5587293954941861,1.6439742508720927,124.03493759011629,0.05088750944916391,0.06329802879995611,0.04568304963099772,0.9021095257126585,0.10066728546115339,0.05328952929337258,0.05709276912456001,0.4851839706779528,0.4898047162734178,0.47969046627536366,0.48345770641402397,0.30537326866279063,0.36872939549418604,0.06185601947674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.011627906976744186,0.1511627906976744,0.1511627906976744,0.5232558139534884,0.5581395348837209,0.9534883720930233,0.9651162790697675,0.30537326866279074,0.36872939549418604,0.06185601947674412,0.3370513320784883,0.24531956121124024
17,"Group 8, Number 4",-0.4,-0.19,1.586,22.572671091783025,50.96665903715572,417.8997179511204,-0.34999999999999987,-0.1499999999999999,0.85,0.738780075529924,0.738780075529924,-0.7954475374709302,-0.3776753313081395,1.3432412302325583,123.05950086046514,0.06383922632836121,0.0960279430721412,0.06641068821669106,1.057444170652506,0.09825116653822857,0.07542595253906449,0.0799335847002512,0.5123544973401444,0.5255236373920723,0.44736769885300137,0.44843231715055304,0.3954475374709302,0.18784150101744182,0.24330358197674423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.023255813953488372,0.06976744186046512,0.19767441860465115,0.38372093023255816,0.8023255813953488,0.8953488372093024,0.9883720930232558,0.3954475374709302,0.18784150101744182,0.24330358197674423,0.29164451924418605,0.27553087348837213
18,"Group 8, Number 5",-0.4,-0.19,1.236,22.572671091783025,51.08110170138094,418.0503029100117,-0.5,-0.25,0.7,0.5485398800451978,0.5485398800451978,-0.636106535503521,-0.5240566625352113,1.4852156161971835,124.76408575352114,0.14003438014278427,0.1342527936222159,0.07982365424140837,0.9174613794962202,0.16765216200742195,0.11803694266880284,0.13714358688250008,0.5119386611822713,0.5092262215154164,0.44147393399385054,0.453709814691509,0.2603931365387324,0.3340566625352112,0.24921561619718308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028169014084507043,0.1267605633802817,0.14084507042253522,0.323943661971831,0.4788732394366197,0.647887323943662,0.7464788732394366,1.0,0.2603931365387324,0.33405666253521127,0.2492156161971831,0.29722489953697184,0.2812218050903756
19,"Group 8, Number 6",-0.4,-0.19,1.0,22.588693064774542,51.340505073624776,418.4694264137245,-0.6,-0.2999999999999998,0.75,0.33852621759621504,0.33852621759621504,-0.6434336268023256,-0.5149321290872093,1.4604644587209303,124.67371091279074,0.15265267044476305,0.16125384534830375,0.10690156975073584,1.1026029703973368,0.183875304927537,0.14026936184793423,0.15695325789653342,0.6484687665186367,0.6243779161045897,0.45154992770511526,0.4548911528070102,0.26800835343023255,0.3249321290872093,0.4604644587209301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05813953488372093,0.0,0.32558139534883723,0.05813953488372093,0.6744186046511628,0.46511627906976744,0.9302325581395349,0.26800835343023255,0.32493212908720936,0.4604644587209302,0.29647024125872096,0.35113498041279073
20,"Group 8, Number 7",-0.4,-0.19,1.33,22.67147325856412,51.59380483710994,419.207826088592,-0.6,-0.2999999999999998,0.19999999999999996,1.152822622956368,1.152822622956368,-0.6923025829069765,-0.4070241101453488,1.4419482982558138,124.34346871511627,0.08610407940070051,0.10709854608682774,0.055155298875332034,1.0189640933612631,0.11951358668011713,0.0827859747876201,0.09660131274376413,0.3994413240681746,0.40033939623472137,0.37791784263527567,0.38311615416073164,0.2928113778488372,0.2170241101453488,0.11459184593023243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.0,0.05813953488372093,0.09302325581395349,0.1744186046511628,0.5,0.6046511627906976,0.8488372093023255,0.9069767441860465,1.0,1.0,0.2928113778488372,0.21702411014534884,0.1145918459302325,0.25491774399709294,0.2081424446414728
21,"Group 8, Number 8",-0.11,-0.19,1.33,22.740901808194096,51.41374837872892,419.310189080818,-0.09999999999999987,-0.1499999999999999,1.0,0.3325657829663179,0.3325657829663179,-0.5976061521511629,-0.6515617101453489,1.600201192151163,125.63682464534884,0.06787110860038013,0.05952198683981398,0.058656936229501196,1.088053554932392,0.06830205075342399,0.062016677223231766,0.06369654772009706,0.7292554366327593,0.7309247623619037,0.6730923292732279,0.6866256767405039,0.4876061521511629,0.4615617101453488,0.2702011921511627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.023255813953488372,0.16279069767441862,0.4876061521511629,0.4615617101453488,0.2702011921511627,0.47458393114825587,0.4064563514825581
22,"Group 9, Number 1",-0.28,-0.425,2.148,21.133363851377126,49.0974288548104,408.841829872167,-0.2999999999999998,-0.44999999999999996,0.04999999999999982,2.0982442660472116,2.0982442660472116,-0.6479933612790698,-0.722747355639535,1.4778904171511626,130.40225244186047,0.04853503996271243,0.050093073952317796,0.0656315313742629,1.1021114497435922,0.08246311925935612,0.05475321509643105,0.04931405695751512,0.8234297545721614,0.8308905842374882,0.47590738480886363,0.47609916388192897,0.36799336127906973,0.2977473556395348,0.6701095828488374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.6976744186046512,0.0,0.9883720930232558,0.36799336127906973,0.29774735563953486,0.6701095828488374,0.33287035845930235,0.44528343325581404
23,"Group 9, Number 2",-0.28,-0.425,1.803,21.42977035172045,48.920424200808725,409.9472886008842,-0.3999999999999999,-0.6,-0.15000000000000013,1.9644933188993035,1.9644933188993035,-0.5591239931686046,-0.8203937572093024,1.3715208122093023,127.06760006686046,0.05073529241941114,0.05938836599728319,0.07049834566745505,1.1144546943136586,0.10273207330035983,0.06020733469471646,0.055061829208347166,0.6531542339206645,0.6448497306634708,0.48732382922662915,0.48760031744944843,0.27912399316860453,0.3953937572093023,0.43147918779069744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.011627906976744186,0.5465116279069767,0.23255813953488372,1.0,0.2791239931686046,0.3953937572093023,0.43147918779069766,0.3372588751889535,0.3686656460562015
24,"Group 9, Number 3",0.285,0.145,1.74,22.78362706950485,51.50988021667811,419.6476554928251,0.4500000000000002,0.30000000000000004,-0.4500000000000002,2.201669820840537,2.201669820840537,0.41480897232558134,0.28224211671511623,1.5866302328488373,121.9138334854651,0.09105779359939824,0.060956303356520865,0.0715844439684597,1.172741574598069,0.10213433224982793,0.07453284697479294,0.07600704847795955,0.26771128042791337,0.26099225333476994,0.19625965032399023,0.18796573857560744,0.1352619822093023,0.13724211671511624,0.15337914215116272,0.0,0.0,0.0,0.0,0.0,0.03488372093023256,0.0,0.1511627906976744,0.0,0.3953488372093023,0.1744186046511628,0.5348837209302325,0.7209302325581395,0.8488372093023255,0.9651162790697675,1.0,1.0,1.0,1.0,1.0,0.1352619822093023,0.13724211671511624,0.15337914215116275,0.13625204946220928,0.1419610803585271
25,"Group 9, Number 4",0.285,-0.155,1.74,22.99458304722667,51.795223926146335,421.0729327229333,0.40000000000000013,-0.1499999999999999,-0.10000000000000009,1.843597027552388,1.843597027552388,0.55218555290625,-0.24649125049374998,1.5928326803125,119.93658477812501,0.1404470119343488,0.06604457097360755,0.054001336226580515,1.2789421859844314,0.22459582812307194,0.08683097304484562,0.10324579145397818,0.3339374866733441,0.31670950081149396,0.2868724679205944,0.30458617280726796,0.26778983971875,0.09347556841249996,0.1471673196875,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.1125,0.0375,0.25,0.2125,0.3375,0.45,0.5,0.65,0.7125,0.85,0.9375,1.0,1.0,0.26778983971875,0.09347556841249997,0.1471673196875,0.18063270406562498,0.16947757593958332
26,"Group 9, Number 5",-0.25,-0.68,1.53,23.00793469138628,51.58007171740292,420.8505177820705,-0.34999999999999987,-1.25,-0.40000000000000013,2.0148945381830785,2.0148945381830785,-0.2413551053421511,-0.4055303725,1.468287846511628,120.30144489534884,0.08033858531515528,0.09885005768516525,0.05104679419733848,1.111723480617849,0.1401154700697074,0.076745145732553,0.08959432150016026,0.30011173329641516,0.28952119588036423,0.2897383348389148,0.2886853036421792,0.06315812983226739,0.27446962750000004,0.06389464941860462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.023255813953488372,0.03488372093023256,0.13953488372093023,0.1744186046511628,0.5465116279069767,0.5813953488372093,0.8488372093023255,0.9069767441860465,1.0,1.0,1.0,1.0,0.06315812983226744,0.27446962750000015,0.06389464941860466,0.16881387866613376,0.13384080225029074
101,"Group 13, Number 2",0.0,0.005,1.54,20.626001373311965,61.08186465247577,420.6355392944379,0.0,0.0,0.75,0.7900158226263574,0.7900158226263574,-0.01206128996642441,0.24456940220930237,1.6427317104651165,131.46626270348833,0.01807758483014435,0.02292731626378588,0.023796691354148868,0.9741729278319231,0.034658452820573005,0.021600530816026368,0.020502450546965117,0.2622937381553941,0.2636703269485089,0.24059767111190614,0.24076683615930128,0.017473086254796485,0.23956940220930228,0.10273171046511621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.03488372093023256,0.9418604651162791,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.017473086254796485,0.2395694022093023,0.10273171046511624,0.1285212442320494,0.119924732976405
102,"Group 13, Number 3",-0.595,0.005,1.54,20.69542992294194,61.70138094148165,421.7045506804047,-1.15,0.050000000000000044,-0.4500000000000002,2.066434126702325,2.066434126702325,-0.3365386177578489,0.06314429214654067,1.5860398857558138,134.18539558139537,0.32897506122893466,0.10623309263106309,0.17340800725677738,0.8747535820096854,0.398746838921752,0.20287205370559172,0.2176040769299989,0.39374216197169876,0.27975678524064196,0.348251984911491,0.24122914494660613,0.309861819625872,0.09849472944944766,0.15819277703488366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12790697674418605,0.10465116279069768,0.27906976744186046,0.313953488372093,0.4069767441860465,0.5697674418604651,0.5813953488372093,0.6162790697674418,0.6511627906976745,0.686046511627907,0.7209302325581395,0.7558139534883721,0.7906976744186046,0.3098618196258721,0.09849472944944765,0.1581927770348837,0.20417827453765985,0.18884977537006783
103,"Group 13, Number 4",-0.86,0.005,1.54,20.668726634622715,61.80514229037919,421.6859388725194,-1.5,0.050000000000000044,-0.15000000000000013,1.807684983618551,1.807684983618551,0.033358215857703495,0.1365385214433139,1.6850387688953485,131.1306915116279,0.16730006555893517,0.0776861888117315,0.03594233214306041,0.8950543902786583,0.22463581125798138,0.09364286217124236,0.12249312718533334,0.9194282832627899,0.922666247349768,0.9070613353938302,0.9128559873781388,0.8933582158577035,0.13838286384447673,0.14503876889534875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.03488372093023256,0.8933582158577035,0.13838286384447673,0.14503876889534878,0.5158705398510901,0.39225994953250964
104,"Group 13, Number 5",-1.115,0.005,1.54,20.668726634622715,61.87075608453498,421.7613020413818,-1.5,0.050000000000000044,0.44999999999999996,1.1568707793007826,1.1568707793007826,-0.15230635477151164,0.1130271469371221,1.7394630313953485,128.34903809883718,0.2593909806763885,0.09974337159534263,0.062441130664781706,1.0355965131816423,0.25257921662033256,0.1405251609788376,0.17956717613586556,0.9977261179684626,0.9460194399518808,0.9745486850594239,0.9140120877794381,0.9626936452284885,0.12149885485514532,0.19953437325581394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.023255813953488372,0.9626936452284885,0.12149885485514532,0.19953437325581397,0.5420962500418169,0.4279089577798159
106,"Group 13, Number 7",0.0,0.005,1.909,19.117265583276108,53.36385137712672,404.884157700058,0.0,0.050000000000000044,-0.5,2.409420262220769,2.409420262220769,0.047916238908517414,0.2309623216569767,1.6144445447674418,131.1431440988372,0.01920597566066349,0.022841129527517677,0.022466887009216112,0.9601730695938238,0.0253590939495289,0.021504664065799095,0.021023552594090583,0.37570019433901736,0.37570676650971446,0.2316568676765456,0.2330620342158313,0.047951790687587176,0.22596232165697674,0.29455545523255816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09302325581395349,0.0,0.9883720930232558,0.9069767441860465,1.0,1.0,1.0,1.0,1.0,0.047951790687587176,0.22596232165697674,0.29455545523255816,0.13695705617228193,0.18948985585904068
